N,N_d,M_d,M,M1,M2,QSC,ASC,M_c,M_n
0.0,0.0,30000.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0
1628.1669719730094,12.217856264598815,35335.39912725734,315.08467830442754,37.91059675546149,394.4691619107398,2178.1543267317634,496.67974390738755,21.119707486316976,92.8041822324388
1760.3445772408575,73.97104353496209,14504.118136959865,405.3988334908123,217.7464241816165,891.3830128264424,2198.508359195363,95.64552734267167,0.8728568333139508,1557.3375844198822
302.6971065030051,463.9299123246672,48042.7660598019,408.66876775649473,48.193291164537634,103.09411022551751,2873.4923689008706,324.6168473103066,995.5999248120067,3579.0348637700663
618.3661793297872,453.32192619479684,22519.722796874627,214.58602006443138,467.8781044838304,778.4137934964288,2800.692966776838,222.38565983650705,770.3539096111065,3016.9514217406922
749.5202922494635,368.48745865819245,36289.59406655017,52.70955458727799,774.6062211248495,301.7316040150776,2041.973050142215,189.03544734822069,570.9431352242952,1634.6615479438503
437.4506013820154,221.2412766293479,42843.17017747578,161.55076839416893,811.6756351067451,763.9330852188967,2200.791993917404,221.25832002028,192.28183041097503,4572.024451138944
1919.20280620589,480.6575878002711,31086.70283034948,906.7165990735909,269.2160757294237,614.1337133760981,2904.35528702557,445.57657148777525,775.9226581623454,4028.4477373476197
951.5988126830606,418.7057541099473,41501.74364095616,886.9484384593277,244.540811234896,797.0880513381941,2547.928858735367,250.91080843690355,835.1097079083647,3104.5408452384454
381.84421066400654,144.4845776001898,25523.829733549726,51.09166735213533,647.1123236082817,731.1717388714229,2866.657497611196,45.05837198971668,490.75919403404635,4994.85801392571
1854.2079788148792,383.570438777112,20922.108820774796,442.576927461241,208.05530462713574,313.5602573206473,2347.0794832673373,467.7343249328212,473.33986531357243,494.56276403650355
1805.0595644347827,48.627398786367294,29083.27733346414,402.38487698037204,154.35301801824386,195.31315943402882,2223.611755948553,442.2589658726559,327.8055591472667,2711.469367137132
1139.9806890679945,326.0409453647609,17879.768754962904,316.46804252816816,252.9086459094507,459.09700393592743,2530.2599179631425,178.86502512476332,866.3888528558275,3004.4082565267295
1256.6344496541244,368.2783369048469,39267.999332761436,440.83082260450254,527.608959431622,443.86483784578934,2193.7248036455903,358.3051681365934,606.5269989011437,756.362123618523
1026.8514969148048,142.13205665885005,43032.500768024,410.54146603596064,425.7190479008095,164.68751478639544,2357.4481157197774,223.4939960079253,497.5935213735464,3961.7268764588525
787.1039700730012,85.35451096792023,44924.74584928541,232.86307516197624,573.5870195541036,805.6061510635874,2065.4619911129757,410.50443488457,23.765447754513946,1694.9890017402097
492.75713951537847,490.2477399806556,13322.734438597012,394.61555793533665,283.90803333781065,8.19545303538427,2719.1703235522764,469.2415544328769,510.1435568461861,3904.52036224366
192.48006767741833,372.91262249913484,14659.175043548295,902.5748296760626,44.14642547754877,429.7913175679131,2721.8178627043253,429.8081822958013,911.1380945436281,892.9513016997281
1797.0328079774697,213.69502133552876,13011.884809333205,533.6766732062282,935.7938829074654,731.5402183005147,2905.1372000502724,131.89423483407487,43.85764701976625,2844.6535989120703
1403.640817196952,460.25181056043954,29906.092991079415,331.31480494749644,214.8247995079785,972.5356352162787,2046.0659179112167,73.13119687075626,288.1244673245632,571.2960948987061
517.4104940244517,57.01229766466726,24912.063273625805,759.054179322105,188.69810430209034,928.5264593868519,2219.6306785986135,76.27287906618125,74.05264950746104,4600.796081207079
